Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
29	475.9007	22.062765	515.5107	440.4119	500.0	67.35604	44.277462	164.8984	17.621778	120000	-0.004633247	335.23288	-0.0060577914	-131.208	0.8452302	0.008916083	0.10675	79.0	23273.880879163742
30	452.5368	51.223377	517.64124	391.03433	500.0	64.44267	37.125797	161.51926	22.184181	124000	-0.0071994374	424.96045	-0.0051666396	-117.4299	0.8505994	0.01805576	0.14125	79.0	23477.3236951828
31	460.14075	38.592876	507.1587	399.5412	500.0	65.746185	34.189247	143.38986	19.008537	128000	-0.004156462	292.3675	-0.011243229	-95.419556	0.85786164	0.014326772	0.135	79.0	23670.35044503212
32	513.4214	85.64464	660.9632	390.55917	500.0	68.51865	37.44579	140.37276	15.666051	132000	-0.0015000049	559.2955	-0.011832338	-117.44516	0.8594673	0.01641294	0.16375	79.0	23872.90717601776
33	497.75204	38.22688	539.9635	444.93884	500.0	65.4355	37.54811	153.80727	18.350456	136000	-0.001167871	540.01495	-0.013711797	-219.35236	0.86166006	0.01673388	0.15725	79.0	24080.70876812935
34	484.96414	81.37233	590.8991	363.9561	500.0	70.22269	41.66096	151.21176	1.7634132	140000	-0.0035570674	293.62747	-0.011011436	-16.422668	0.86947054	0.018566586	0.14575	79.0	24305.29526925087
35	527.518	95.87157	654.8371	377.91486	500.0	69.331345	41.271317	168.09256	15.994928	144000	-0.0036298311	487.0767	-0.0061152265	-141.25381	0.8533476	0.014009447	0.15675	79.0	24521.584520101547
36	486.17545	144.74701	726.6456	181.80338	500.0	76.91155	44.08908	167.98602	4.8117332	148000	0.002768837	405.63388	-0.014832775	-114.33588	0.8512783	0.03028483	0.2245	62.0	24741.867928028107
37	693.6046	149.46117	881.9216	365.83508	500.0	105.35237	50.998417	165.73917	6.167733	152000	-0.0013548154	511.03864	-0.012741001	-236.84888	0.8533678	0.012238821	0.11575	79.0	24979.807489156723
38	677.0292	94.27457	825.9604	539.37976	500.0	101.61597	59.12283	190.96892	14.126077	156000	-0.002043502	361.1849	-0.014953332	-84.997894	0.84953386	0.010679108	0.1165	79.0	25201.84575200081
39	722.31586	122.94547	878.24713	463.8221	500.0	108.02792	50.796467	181.57945	21.382086	160000	-0.0023971596	393.54614	-0.0062933727	-60.519775	0.8460666	0.016200688	0.176	79.0	25386.099521160126
40	740.0569	93.24279	890.31683	570.9946	500.0	118.74106	52.248623	190.05171	22.508574	164000	-0.001940975	605.9851	-0.015059363	-120.71408	0.8422137	0.019095223	0.14875	79.0	25573.330191135406
41	851.7632	71.89164	911.6791	685.4653	500.0	145.82301	37.355804	186.15825	23.416626	168000	-0.0026742327	926.85986	0.007625216	-183.49628	0.843685	0.030917797	0.30025	15.0	25728.800822019577
42	783.5563	147.58676	894.16296	516.73456	500.0	129.13402	53.335888	196.1131	3.6082675	172000	-0.0016621673	1557.4436	-0.0067213937	-454.9309	0.84318095	0.009776111	0.12675	79.0	25956.156917095184
43	800.19556	139.99986	898.6151	464.57047	500.0	130.85094	37.894943	166.35953	27.329876	176000	-0.0011369921	1434.6003	-0.0035092859	-213.07715	0.8407173	0.036956195	0.26675	23.0	26100.630934000015
44	681.8046	173.15582	858.292	449.67764	500.0	106.2367	43.659916	177.73303	33.969177	180000	-0.00017637108	1279.9022	1.9067898e-05	-259.81897	0.8407864	0.03596382	0.25625	9.0	26248.24853825569
45	893.04517	12.884761	908.60455	871.604	500.0	135.18317	8.703291	156.61543	108.61116	184000	-0.0011199256	1834.9747	-0.0062575126	-341.39502	0.8409872	0.011498692	0.12425	79.0	26501.72448706627
46	878.00854	18.696815	903.4866	842.68494	500.0	144.30168	21.908518	175.88754	61.28089	188000	-0.003062671	1484.971	-0.0054277787	23.93811	0.8409999	0.009516033	0.12125	79.0	26748.647416114807
47	887.7348	12.564126	913.796	873.9357	500.0	151.03032	8.959143	167.15308	102.46541	192000	-0.00645109	1813.993	-0.0048824297	-136.25684	0.844518	0.008320878	0.08925	79.0	26997.542265176773
48	901.6782	11.688966	919.99713	881.77045	500.0	149.53406	7.217666	174.35269	123.67633	196000	-0.0060204174	1771.1711	-0.002922425	-81.25842	0.8499078	0.0041330107	0.07275	79.0	27248.975607156754
49	800.99255	191.5882	908.666	324.4866	500.0	129.17169	38.388542	168.68144	31.829933	200000	-0.006264376	1447.364	-0.007969629	-166.9834	0.84832007	0.016584536	0.13525	79.0	27474.761520147324
50	894.9511	22.052338	914.8412	839.7659	500.0	148.85394	11.700449	181.38165	72.94308	204000	-0.008369918	1817.964	-0.0025517233	-92.6499	0.85393506	0.007796091	0.111	79.0	27688.29700398445
51	872.66406	72.37102	916.9852	684.66437	500.0	149.95026	26.622477	172.66383	22.961868	208000	-0.0052844873	1533.1836	-0.005830867	-69.00195	0.862537	0.011258537	0.127	79.0	27955.072963237762
52	803.84546	166.73866	924.1005	432.03113	500.0	130.25389	46.46181	169.42711	18.46776	212000	-0.007423877	1602.0403	-0.005109247	-143.05359	0.8622428	0.010894237	0.14475	79.0	28159.532066106796
53	834.45447	149.46986	912.85974	446.0695	500.0	124.035	30.899673	157.57512	26.426823	216000	-0.0061892187	1423.1765	-0.004460478	-288.18713	0.86454594	0.011242763	0.131	79.0	28331.402925014496
54	851.06287	143.51581	916.43665	472.0652	500.0	140.51646	36.812035	182.90173	16.20752	220000	-0.0068389443	1833.996	-0.004884848	-200.1217	0.8680173	0.010211954	0.14525	79.0	28500.379326105118
55	828.5773	144.2339	922.43756	555.3863	500.0	139.24785	37.980946	165.75934	35.153824	224000	-0.0060437787	1436.1143	-0.007834765	-24.454712	0.870617	0.015278244	0.1265	79.0	28671.10659623146
56	906.77295	5.0145416	917.12427	901.7075	500.0	146.38737	9.703937	175.99402	108.98365	228000	-0.0035973652	1854.354	-0.005489836	-50.306763	0.8686477	0.012395851	0.177	79.0	28890.056086063385
57	911.5062	6.160611	918.3839	897.5592	500.0	157.54231	4.7024255	169.10088	133.51424	232000	-0.009182743	1906.5299	-0.0014072331	-78.00769	0.86483127	0.008511316	0.0915	79.0	29128.54237318039
58	910.2473	10.993805	923.25275	887.95483	500.0	145.37411	4.640163	169.03035	119.47949	236000	-0.0030064979	1900.4015	-0.0057545803	-37.585205	0.86291814	0.019167043	0.15175	79.0	29354.981059074402
59	914.82117	5.1117315	923.6842	908.89325	500.0	148.7235	4.5489244	161.91556	129.62646	240000	-0.008451867	1878.6335	2.0847656e-05	-23.169556	0.8592787	0.012188602	0.13025	79.0	29648.86432313919
60	907.86285	10.434754	916.5381	881.6929	500.0	154.58641	7.648633	191.6095	115.94809	244000	0.0034787348	1813.3055	-0.010769328	-161.54785	0.8619263	0.007939822	0.095	79.0	31972.37035703659
61	915.6998	7.217252	925.2171	902.5242	500.0	150.8077	7.121897	167.49432	119.32238	248000	-0.0065136505	1828.7181	-0.0029579345	-52.60315	0.8466962	0.006269588	0.10725	79.0	32112.389045000076
62	914.89526	6.764391	924.3042	900.41736	500.0	158.56436	7.0776033	177.43382	134.25539	252000	-0.0044562733	1967.4038	0.00075408584	-67.74097	0.8412906	0.0098327305	0.15	79.0	34497.53889417648
63	915.6304	6.2498217	921.56726	902.37665	500.0	148.67317	4.1798067	160.19997	130.82462	256000	-0.0063548596	1857.1367	-0.005341793	-35.243042	0.835148	0.008618133	0.105	79.0	34640.15606093407
64	917.6456	4.289465	924.5255	909.9111	500.0	150.01761	5.4309154	161.77106	127.65477	260000	-0.005996526	1941.4811	-0.0018801875	-63.98059	0.8348743	0.0064312834	0.09225	79.0	34790.54961895943
65	919.8915	3.552629	926.1481	915.9349	500.0	155.11304	4.470116	166.56688	139.7387	264000	-0.008199247	1936.0925	-0.0024336083	-57.854736	0.8265942	0.009859327	0.0815	79.0	34966.31434011459
66	918.777	4.0667653	924.6331	913.03076	500.0	146.78581	4.5833864	159.57718	128.57797	268000	-0.009175101	1900.066	0.0010854285	-33.220947	0.8238793	0.009287861	0.1075	79.0	35134.11621928215
67	920.98474	4.1118174	926.79407	913.5651	500.0	153.68619	2.442356	161.25485	141.658	272000	-0.005267835	1890.0603	-0.0022836016	7.286621	0.8130865	0.0032981557	0.09025	79.0	35283.651348114014
68	925.9348	4.244765	932.6556	917.7342	500.0	149.54362	2.4195063	156.96048	141.09497	276000	-0.007108675	1923.6815	0.001157946	-7.0024414	0.8056424	0.0065386286	0.084	79.0	35450.16525602341
69	833.6592	151.9468	924.6994	523.6962	500.0	146.6691	8.718854	157.66408	115.460045	280000	-0.0053620418	2492.026	-0.0035762438	-1048.8923	0.80013734	0.015292752	0.121	79.0	35630.615735054016
70	917.29944	10.741657	931.14246	900.5109	500.0	152.39479	6.8546286	166.0355	103.53998	284000	-0.007851669	1782.2999	-0.0016786903	-44.65039	0.7992275	0.0065513575	0.0625	79.0	35803.40186023712
